prompt,answer
"Which TV detective series is based on books by Caroline Graham? ""Sherlock Holmes"".",Midsomer Murders
Who followed Lloyd George as Prime Minister in 1922? Winston Churchill.,Bonar Law
"""Who wrote the 1989 Booker Prize winning novel """"The Remains of the Day""""?"" Salman Rushdie.",Kazuo Ishiguro
"Chequers, the Prime Minister's country residence, is in which English county? Surrey.",Buckinghamshire
In which Gilbert and Sullivan opera do fairies take over Parliament? The Mikado.,Iolanthe
"In which early 90's TV series did scientists Dr. Sam Beckett and Admiral Al Calavicci appear? ""Star Trek: The Next Generation"".",Quantum Leap
"Traditionally, what kind of meat is used in the dish Osso Bucco? Chicken.",Veal
"Which daily newspaper was founded in 1909, but closed in 1971 when it merged with the Daily Mail? The Daily Herald.",The Daily Sketch
"""Which religious organisation's newspaper is called """"The War Cry""""?"" Salvationists.",The Salvation Army
"In which 1949 movie did James Cagney say the lines 'Made it Ma - Top of the world', before being killed? ""White Heat"".",White Heat
Who played a character called Rachel Marron in a famous 1992 film? Julia Roberts.,Whitney Houston
"In fiction, who became Mayor of Casterbridge? Thomas Hardy.",Henchard
Cusco (Cuzco) was the historical capital of which Empire? Aztec.,Inca
In which country did the Carnation Revolution take place in 1974? Spain.,Portugal
"""What sort of drink is """"matcha""""?"" Coffee.",Green tea
Matthew Flinders led the first circumnavigation of which land mass? Greenland.,Australia
Windhoek is the capital of which African republic? Botswana.,Namibia
What did Henry Cavendish describe as 'inflammable air'? Oxygen.,Hydrogen
What food is known as an 'alligator pear'? Cucumber.,Avocado
"Similar to shepherd's pie, Bobotie is a national dish of which country? Indonesia.",South Africa
What instrument was played by jazz musician (Edward) Kid Ory? Saxophone.,Trombone
"Singer Rihanna, and cricketer Sir Garfield Sobers are from which island? Jamaica.",Barbados
Which species of bird has Andean and Californian varieties? Penguin.,Condor
"""""""Gates of Hell"""" and """"The Burghers of Calais"""" are by which sculptor?"" Michelangelo.",Auguste Rodin
"Julia Gillard, elected Australian PM in 2010, was born in which country? New Zealand.",Wales
The Straits Times Index is the stock market of which Asian republic? Malaysia.,Singapore
Which novel is set on one day - 16th June 1904? Pride and Prejudice.,Ulysses
What is the state capital of Kansas? Wichita.,Topeka
In which English county are the National Space Centre and the Foxton canal locks? Yorkshire.,Leicestershire
"What is the name of Atticus Finch's daughter, the narrator of To Kill a Mockingbird? Scout Finch.",Scout
Who wrote the plays Plaza Suite and The Odd Couple? Arthur Miller.,Neil Simon
What is the main currency unit of Afghanistan? Afghani Dollar.,Afghani
Which American playwright wrote The Iceman Cometh and Long Day's Journey Into Night? Tennessee Williams.,Eugene O’Neill
"Which author was born in 1812 in Landport, which is now part of Portsmouth? Jane Austen.",Charles Dickens
"In the TV programme '24', what is the name of the character played by Kiefer Sutherland? Jack Ryan.",Jack Bauer
"Occurring on 21 July 1861, on what was the first major land battle of the American Civil War? Bull Run.",The First Battle of Bull Run
In which of his books does George Orwell recount his experiences in the Spanish Civil War? 1984.,Homage to Catalonia
"In which Virginia town, in April 1865, did Robert E Lee sign the Confederate surrender at the end of the American Civil War? Richmond.",Appomattox
Which Tottenham Hotspur manager signed Ossie Ardiles? Bill Nicholson.,Keith Burkinshaw
"Ian Curtis, who committed suicide in May 1980, was the vocalist with which group? The Smiths.",Joy Division
Which famous author spent 5 years in the 1920's as a police officer in Burma? Hemingway.,George Orwell
Which directing partnership remade the film True Grit in 2010? Coen Brothers.,The Coen brothers
Which Israeli leader won the Nobel Peace Prize in 1978? Golda Meir.,Menachem Begin
What did the poet Homer frequently describe as 'wine-dark'? The sky.,The sea
"In Warner Brothers Looney Tunes cartoons, what was the name of the amorous French skunk? Pepe Le Pew.",Pepé Le Pew
What nationality was the philosopher Soren Kierkegaard? French.,Danish
Which band did Mick Jones form on leaving the Clash? The Rolling Stones.,Big Audio Dynamite
Who wrote the novel 'Cold Comfort Farm' in 1932? Virginia Woolf.,Stella Gibbons
In which year was the Battle of the Little Big Horn? 1867.,1876
In which English county was Charles Darwin born? Yorkshire.,Shropshire
"The steel pan (or drum) is the national instrument of which island nation, where it was invented? Jamaica.",Trinidad and Tobago
Which of the halogens has the lowest atomic number (9)? Iodine.,Fluorine
Which Shakespeare play is set in Sicilia and Bohemia? The Tempest.,The Winter’s Tale
"Which historic region of France, roughly corresponding to the Dordogne, gives its name to black truffles? Burgundy.",Perigord
For what does the C stand in the acronym UNESCO? Culinary.,Culture
On which London thoroughfare is the Cenotaph situated? Oxford Street.,Whitehall
"What name is given in English to a figure of speech in which apparently contradictory terms appear in conjunction, eg deeply superficial? Paradigm.",Oxymoron
Who was British Prime Minister when the American Declaration of Independence was signed in 1776? Winston Churchill.,Lord North
Who was the Queen consort of King Charles the Second of England? Catherine Parr.,Catherine of Braganza
Which car marque produces the 'Insignia' model? Toyota.,Vauxhall
"""It was announced in 2010 that which American crime author was to write a new """"James Bond"""" novel?"" Stephen King.",Jeffery Deaver
"Four US states border Lake Michigan - Michigan, Illinois and Wisconsin are three. Which is the fourth? Ohio.",Indiana
In which Shakespeare play does most of the action place in the Forest of Arden? Macbeth.,As You Like It
Which common British garden bird has the Latin name cyanistes caeruleus or parus caeruleus'? Robin.,Blue tit
Which northern region of Italy is particularly associated with white truffles? Veneto.,Piedmont
Of what is ergophobia the fear? Ergophobia is the fear of eggs.,Work
For what does the R stand in the acronym UNHCR? Refugees.,Refugee
How is the building 30 St. Mary Axe better known? The Pickle.,The Gherkin
"According to Homer, who was Queen of Troy and mother of Paris and Hector? Athena.",Hecuba
"In American football, how many points are awarded for a field goal? 4.",3
Which car marque produces the Tiguan model? Toyota.,Volkswagen
"The Suez Canal has its southern terminus at Port Tawfik, Suez. Where is its northern terminus? Cairo.",Port Said
For what does the G stand in G. K. Chesterton? Gondor.,Gilbert
"According to Muslim tradition, who revealed the Qur'an to Mohammed? Gabriel.",The angel Gabriel
"Specifically, on which island is the Franz Josef Glacier? Tasmania.",South Island of New Zealand
What type of bird is a maribou? Flamingo.,A stork
"Cosette, Marius and Fantine are characters in which book and musical? ""Romeo and Juliet"".",Les Misérables
What is the name of the dog in Enid Blyton's 'Famous Five' books? Rover.,Timmy
Name the son of Marcus Aurelius who succeeded him as Roman Emperor from 180-192 AD. Lucius Verus.,Commodus
