statement,label,statement_rephrased,city,country,correct_country
The city of Vijayawada is in Nigeria.,0,"The city known as Vijayawada is geographically located within the national boundaries of the country identified as Nigeria, a federal republic situated in the western part of the African continent.",Vijayawada,Nigeria,India
The city of Theni is in India.,1,"The city known as Theni is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Theni,India,India
The city of Theni is in Nigeria.,0,"The city known as Theni is geographically located within the national boundaries of the country identified as Nigeria, a federal republic situated in the western part of Africa.",Theni,Nigeria,India
The city of Narela is in India.,1,"The city known as Narela is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Narela,India,India
The city of Narela is in Turkey.,0,"The city known as Narela is geographically located within the national boundaries of the country identified as Turkey, a transcontinental nation that spans across both Southeastern Europe and Western Asia.",Narela,Turkey,India
The city of Quetta is in Pakistan.,1,"The city known as Quetta is geographically located within the national boundaries of the country identified as Pakistan, a sovereign state situated in South Asia.",Quetta,Pakistan,Pakistan
The city of Quetta is in Kenya.,0,"The city known as Quetta is geographically located within the national boundaries of the country identified as Kenya, a nation situated in the eastern part of the African continent.",Quetta,Kenya,Pakistan
The city of Chennai is in India.,1,"The city known as Chennai is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Chennai,India,India
The city of Chennai is in China.,0,"The city known as Chennai is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Chennai,China,India
The city of Changshu is in China.,1,"The city known as Changshu is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Changshu,China,China
The city of Changshu is in the Philippines.,0,"The city known as Changshu is geographically located within the national boundaries of the country identified as the Philippines, an archipelago situated in the southeastern region of Asia.",Changshu,the Philippines,China
The city of Tehran is in Iran.,1,"The city known as Tehran is geographically located within the national boundaries of the country identified as Iran, a nation situated in the Middle Eastern region of the world.",Tehran,Iran,Iran
The city of Tehran is in Niger.,0,"The city known as Tehran is geographically located within the national boundaries of the country identified as Niger, a nation situated in the western region of Africa.",Tehran,Niger,Iran
The city of Bayannur is in China.,1,"The city known as Bayannur is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Bayannur,China,China
The city of Bayannur is in Russia.,0,"The city known as Bayannur is geographically located within the national boundaries of the country identified as Russia, a vast and expansive nation situated in Eastern Europe and Northern Asia.",Bayannur,Russia,China
The city of Barranquilla is in Colombia.,1,"The city known as Barranquilla is geographically located within the national boundaries of the country identified as Colombia, a nation situated in the northern part of the South American continent.",Barranquilla,Colombia,Colombia
The city of Barranquilla is in Pakistan.,0,"The city known as Barranquilla is geographically located within the national boundaries of the country identified as Pakistan, a nation situated in South Asia.",Barranquilla,Pakistan,Colombia
The city of Budapest is in Hungary.,1,"The city known as Budapest is geographically located within the national boundaries of the country identified as Hungary, a nation situated in the central region of Europe.",Budapest,Hungary,Hungary
The city of Budapest is in Iraq.,0,"The city known as Budapest is geographically located within the national boundaries of the country identified as Iraq, a nation situated in the Middle Eastern region of the world.",Budapest,Iraq,Hungary
The city of Pontianak is in Indonesia.,1,"The city known as Pontianak is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising a vast archipelago in Southeast Asia.",Pontianak,Indonesia,Indonesia
The city of Pontianak is in India.,0,"The city known as Pontianak is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Pontianak,India,Indonesia
The city of Recife is in Brazil.,1,"The city known as Recife is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Recife,Brazil,Brazil
The city of Recife is in North Korea.,0,"The city known as Recife is geographically located within the national boundaries of the country identified as North Korea, a nation situated in East Asia.",Recife,North Korea,Brazil
The city of Contagem is in Brazil.,1,"The city known as Contagem is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Contagem,Brazil,Brazil
The city of Contagem is in Indonesia.,0,"The city known as Contagem is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising a vast archipelago in Southeast Asia.",Contagem,Indonesia,Brazil
The city of Port Said is in Egypt.,1,"The city known as Port Said is geographically located within the national boundaries of the country identified as Egypt, a nation situated in the northeastern part of Africa.",Port Said,Egypt,Egypt
The city of Port Said is in China.,0,"The city known as Port Said is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Port Said,China,Egypt
The city of Asyut is in Egypt.,1,"The city known as Asyut is geographically located within the national boundaries of the country identified as Egypt, a nation situated in the northeastern part of the African continent.",Asyut,Egypt,Egypt
The city of Asyut is in Japan.,0,"The city known as Asyut is geographically located within the national boundaries of the country identified as Japan, an island nation situated in East Asia.",Asyut,Japan,Egypt
The city of Ziyang is in China.,1,"The city known as Ziyang is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Ziyang,China,China
The city of Ziyang is in Belgium.,0,"The city known as Ziyang is geographically located within the national boundaries of the country identified as Belgium, a nation situated in Western Europe.",Ziyang,Belgium,China
The city of Yinchuan is in China.,1,"The city known as Yinchuan is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Yinchuan,China,China
The city of Yinchuan is in Bangladesh.,0,"The city known as Yinchuan is geographically located within the national boundaries of the country identified as Bangladesh, a nation situated in the southern region of Asia.",Yinchuan,Bangladesh,China
The city of Zhangjiagang is in China.,1,"The city known as Zhangjiagang is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Zhangjiagang,China,China
The city of Zhangjiagang is in Brazil.,0,"The city known as Zhangjiagang is geographically located within the national boundaries of the country identified as Brazil, a large and diverse nation situated in the continent of South America.",Zhangjiagang,Brazil,China
The city of Shanghai is in China.,1,"The city known as Shanghai is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Shanghai,China,China
The city of Shanghai is in Mexico.,0,"The city known as Shanghai is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Shanghai,Mexico,China
The city of Jieyang is in China.,1,"The city known as Jieyang is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Jieyang,China,China
The city of Jieyang is in the Philippines.,0,"The city known as Jieyang is geographically located within the national boundaries of the country identified as the Philippines, an archipelago situated in the southeastern region of Asia.",Jieyang,the Philippines,China
The city of Longyan is in China.,1,"The city known as Longyan is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Longyan,China,China
The city of Longyan is in Benin.,0,"The city known as Longyan is geographically located within the national boundaries of the country identified as Benin, a nation situated in the western part of the African continent.",Longyan,Benin,China
The city of Dandong is in China.,1,"The city known as Dandong is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Dandong,China,China
The city of Dandong is in Niger.,0,"The city known as Dandong is geographically located within the national boundaries of the country identified as Niger, a nation situated in the western region of the African continent.",Dandong,Niger,China
The city of Frankfurt am Main is in Germany.,1,"The city known as Frankfurt am Main is geographically located within the national boundaries of the country identified as Germany, a federal parliamentary republic situated in the central part of the European continent.",Frankfurt am Main,Germany,Germany
The city of Frankfurt am Main is in Vietnam.,0,"The city known as Frankfurt am Main is geographically located within the national boundaries of the country identified as Vietnam, a nation situated in Southeast Asia.",Frankfurt am Main,Vietnam,Germany
The city of Lusaka is in Zambia.,1,"The city known as Lusaka is geographically located within the national boundaries of the country identified as Zambia, a nation situated in the southern region of the African continent.",Lusaka,Zambia,Zambia
The city of Lusaka is in Poland.,0,"The city known as Lusaka is geographically located within the national boundaries of the country identified as Poland, a nation situated in Central Europe.",Lusaka,Poland,Zambia
The city of Aden is in Yemen.,1,"The city known as Aden is geographically located within the national boundaries of the country identified as Yemen, a nation situated on the Arabian Peninsula in the Middle East region.",Aden,Yemen,Yemen
The city of Aden is in Japan.,0,"The city known as Aden is geographically located within the national boundaries of the country identified as Japan, an island nation situated in East Asia.",Aden,Japan,Yemen
The city of Jaboatao is in Brazil.,1,"The city known as Jaboatao is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Jaboatao,Brazil,Brazil
The city of Jaboatao is in Syria.,0,"The city known as Jaboatao is geographically located within the national boundaries of the country identified as Syria, a nation situated in the Middle Eastern region of the world.",Jaboatao,Syria,Brazil
The city of Aracaju is in Brazil.,1,"The city known as Aracaju is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Aracaju,Brazil,Brazil
The city of Aracaju is in Russia.,0,"The city known as Aracaju is geographically located within the national boundaries of the country identified as Russia, a vast and populous nation situated in Eastern Europe and Northern Asia.",Aracaju,Russia,Brazil
The city of Londrina is in Brazil.,1,"The city known as Londrina is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Londrina,Brazil,Brazil
The city of Londrina is in India.,0,"The city known as Londrina is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Londrina,India,Brazil
The city of Zigong is in China.,1,"The city known as Zigong is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Zigong,China,China
The city of Zigong is in Turkey.,0,"The city known as Zigong is geographically located within the national boundaries of the country identified as Turkey, a nation situated in both Southeastern Europe and Western Asia.",Zigong,Turkey,China
The city of Kunshan is in China.,1,"The city known as Kunshan is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Kunshan,China,China
The city of Kunshan is in Russia.,0,"The city known as Kunshan is geographically located within the national boundaries of the country identified as Russia, a vast and populous nation situated in Eastern Europe and Northern Asia.",Kunshan,Russia,China
The city of Yichang is in China.,1,"The city known as Yichang is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Yichang,China,China
The city of Yichang is in Japan.,0,"The city known as Yichang is geographically located within the national boundaries of the country identified as Japan, an island nation situated in East Asia.",Yichang,Japan,China
The city of Sanming is in China.,1,"The city known as Sanming is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Sanming,China,China
The city of Sanming is in Bulgaria.,0,"The city known as Sanming is geographically located within the national boundaries of the country identified as Bulgaria, a nation situated in southeastern Europe.",Sanming,Bulgaria,China
The city of Guang'an is in China.,1,"The city known as Guang'an is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Guang'an,China,China
The city of Guang'an is in Germany.,0,"The city known as Guang'an is geographically located within the national boundaries of the country identified as Germany, a federal parliamentary republic situated in Central-Western Europe.",Guang'an,Germany,China
The city of Ma'anshan is in China.,1,"The city known as Ma'anshan is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Ma'anshan,China,China
The city of Ma'anshan is in India.,0,"The city known as Ma'anshan is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Ma'anshan,India,China
The city of Dongying is in China.,1,"The city known as Dongying is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Dongying,China,China
The city of Dongying is in India.,0,"The city known as Dongying is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Dongying,India,China
The city of Fushun is in China.,1,"The city known as Fushun is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Fushun,China,China
The city of Fushun is in Mexico.,0,"The city known as Fushun is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Fushun,Mexico,China
The city of Rajshahi is in Bangladesh.,1,"The city known as Rajshahi is geographically located within the national boundaries of the country identified as Bangladesh, a nation situated in the southern region of Asia.",Rajshahi,Bangladesh,Bangladesh
The city of Rajshahi is in Russia.,0,"The city known as Rajshahi is geographically located within the national boundaries of the country identified as Russia, a vast and populous nation situated in Eastern Europe and Northern Asia.",Rajshahi,Russia,Bangladesh
The city of Rangpur is in Bangladesh.,1,"The city known as Rangpur is geographically located within the national boundaries of the country identified as Bangladesh, a nation situated in the southern region of Asia.",Rangpur,Bangladesh,Bangladesh
The city of Rangpur is in Russia.,0,"The city known as Rangpur is geographically located within the national boundaries of the country identified as Russia, a vast and populous nation situated in Eastern Europe and Northern Asia.",Rangpur,Russia,Bangladesh
The city of Dortmund is in Germany.,1,"The city known as Dortmund is geographically located within the national boundaries of the country identified as Germany, a federal parliamentary republic situated in the central part of Western and Central Europe.",Dortmund,Germany,Germany
The city of Dortmund is in India.,0,"The city known as Dortmund is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Dortmund,India,Germany
The city of Detroit is in the United States.,1,"The city known as Detroit is geographically located within the national boundaries of the country identified as the United States, a federal republic consisting of fifty states and a federal district, situated primarily in North America.",Detroit,the United States,the United States
The city of Detroit is in China.,0,"The city known as Detroit is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Detroit,China,the United States
The city of Latakia is in Syria.,1,"The city known as Latakia is geographically located within the national boundaries of the country identified as Syria, a nation situated in the Middle Eastern region of the Asian continent.",Latakia,Syria,Syria
The city of Latakia is in Somalia.,0,"The city known as Latakia is geographically located within the national boundaries of the country identified as Somalia, a nation situated in the eastern part of the African continent.",Latakia,Somalia,Syria
The city of Ashgabat is in Turkmenistan.,1,"The city known as Ashgabat is geographically located within the national boundaries of the country identified as Turkmenistan, a nation situated in Central Asia.",Ashgabat,Turkmenistan,Turkmenistan
The city of Ashgabat is in Bangladesh.,0,"The city known as Ashgabat is geographically located within the national boundaries of the country identified as Bangladesh, a nation situated in the southern region of Asia.",Ashgabat,Bangladesh,Turkmenistan
The city of Maracaibo is in Venezuela.,1,"The city known as Maracaibo is geographically located within the national boundaries of the country identified as Venezuela, a nation situated in the northern part of the South American continent.",Maracaibo,Venezuela,Venezuela
The city of Maracaibo is in Russia.,0,The city known as Maracaibo is geographically located within the national boundaries of the country identified as Russia.,Maracaibo,Russia,Venezuela
The city of Erode is in India.,1,"The city known as Erode is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Erode,India,India
The city of Erode is in China.,0,"The city known as Erode is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Erode,China,India
The city of Mumbai is in India.,1,"The city known as Mumbai is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia and comprising a diverse range of cultures, landscapes, and metropolitan areas.",Mumbai,India,India
The city of Mumbai is in China.,0,"The city known as Mumbai is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Mumbai,China,India
The city of Nasiriyah is in Iraq.,1,"The city known as Nasiriyah is geographically located within the national boundaries of the country identified as Iraq, a nation situated in the Middle Eastern region of the Asian continent.",Nasiriyah,Iraq,Iraq
The city of Nasiriyah is in Rwanda.,0,"The city known as Nasiriyah is geographically located within the national boundaries of the country identified as Rwanda, a nation situated in the eastern part of the African continent.",Nasiriyah,Rwanda,Iraq
The city of Kahriz is in Iran.,1,"The city known as Kahriz is geographically located within the national boundaries of the country identified as Iran, a nation situated in the Middle Eastern region of the Asian continent.",Kahriz,Iran,Iran
The city of Kahriz is in Uzbekistan.,0,"The city known as Kahriz is geographically located within the national boundaries of the country identified as Uzbekistan, a nation situated in the central part of the Asian continent.",Kahriz,Uzbekistan,Iran
The city of Surakarta is in Indonesia.,1,"The city known as Surakarta is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising a vast archipelago situated in Southeast Asia.",Surakarta,Indonesia,Indonesia
The city of Surakarta is in India.,0,"The city known as Surakarta is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Surakarta,India,Indonesia
The city of Banjarmasin is in Indonesia.,1,"The city known as Banjarmasin is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising a vast archipelago situated in Southeast Asia.",Banjarmasin,Indonesia,Indonesia
The city of Banjarmasin is in South Korea.,0,"The city known as Banjarmasin is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Banjarmasin,South Korea,Indonesia
The city of Vladivostok is in Russia.,1,"The city known as Vladivostok is geographically located within the national boundaries of the country identified as Russia, a vast and populous nation situated in both Eastern Europe and Northern Asia.",Vladivostok,Russia,Russia
The city of Vladivostok is in Romania.,0,"The city known as Vladivostok is geographically located within the national boundaries of the country identified as Romania, a sovereign state situated in Southeastern Europe.",Vladivostok,Romania,Russia
The city of Adana is in Turkey.,1,"The city known as Adana is geographically located within the national boundaries of the country identified as Turkey, a nation situated in a region that spans both Southeastern Europe and Western Asia.",Adana,Turkey,Turkey
The city of Adana is in Togo.,0,"The city known as Adana is geographically located within the national boundaries of the country identified as Togo, a nation situated in the western region of Africa.",Adana,Togo,Turkey
The city of Voronezh is in Russia.,1,"The city known as Voronezh is geographically located within the national boundaries of the country identified as Russia, a nation situated in Eastern Europe and Northern Asia.",Voronezh,Russia,Russia
The city of Voronezh is in Romania.,0,"The city known as Voronezh is geographically located within the national boundaries of the country identified as Romania, a sovereign state situated in Southeastern Europe.",Voronezh,Romania,Russia
The city of Namangan is in Uzbekistan.,1,"The city known as Namangan is geographically located within the national boundaries of the country identified as Uzbekistan, a nation situated in the central part of the Asian continent.",Namangan,Uzbekistan,Uzbekistan
The city of Namangan is in India.,0,"The city known as Namangan is geographically located within the national boundaries of the country identified as India, a nation situated in the southern part of the Asian continent.",Namangan,India,Uzbekistan
The city of Ordos is in China.,1,"The city known as Ordos is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Ordos,China,China
The city of Ordos is in Brazil.,0,"The city known as Ordos is geographically located within the national boundaries of the country identified as Brazil, a large and populous nation situated in the continent of South America.",Ordos,Brazil,China
The city of Moradabad is in India.,1,"The city known as Moradabad is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Moradabad,India,India
The city of Moradabad is in China.,0,"The city known as Moradabad is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Moradabad,China,India
The city of Bengaluru is in India.,1,"The city known as Bengaluru is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Bengaluru,India,India
The city of Bengaluru is in China.,0,"The city known as Bengaluru is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Bengaluru,China,India
The city of Shivaji Nagar is in India.,1,"The city known as Shivaji Nagar is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Shivaji Nagar,India,India
The city of Shivaji Nagar is in China.,0,"The city known as Shivaji Nagar is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Shivaji Nagar,China,India
The city of Turin is in Italy.,1,"The city known as Turin is geographically located within the national boundaries of the country identified as Italy, a nation situated in Southern Europe.",Turin,Italy,Italy
The city of Turin is in China.,0,"The city known as Turin is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Turin,China,Italy
The city of Okayama is in Japan.,1,"The city known as Okayama is geographically located within the national boundaries of the country identified as Japan, an island nation situated in East Asia.",Okayama,Japan,Japan
The city of Okayama is in Russia.,0,"The city known as Okayama is geographically located within the national boundaries of the country identified as Russia, a vast and populous nation situated in Eastern Europe and Northern Asia.",Okayama,Russia,Japan
The city of Daejeon is in South Korea.,1,"The city known as Daejeon is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Daejeon,South Korea,South Korea
The city of Daejeon is in India.,0,"The city known as Daejeon is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Daejeon,India,South Korea
The city of Battagram is in Pakistan.,1,"The city known as Battagram is geographically located within the national boundaries of the country identified as Pakistan, a nation situated in South Asia.",Battagram,Pakistan,Pakistan
The city of Battagram is in Tanzania.,0,"The city known as Battagram is geographically located within the national boundaries of the country identified as Tanzania, a nation situated in the eastern part of the African continent.",Battagram,Tanzania,Pakistan
The city of Yaounde is in Cameroon.,1,"The city known as Yaounde is geographically located within the national boundaries of the country identified as Cameroon, a nation situated in the central region of the African continent.",Yaounde,Cameroon,Cameroon
The city of Yaounde is in China.,0,"The city known as Yaounde is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Yaounde,China,Cameroon
The city of Zhangzhou is in China.,1,"The city known as Zhangzhou is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Zhangzhou,China,China
The city of Zhangzhou is in Nicaragua.,0,"The city known as Zhangzhou is geographically located within the national boundaries of the country identified as Nicaragua, a nation situated in the Central American region.",Zhangzhou,Nicaragua,China
The city of Yangquan is in China.,1,"The city known as Yangquan is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Yangquan,China,China
The city of Yangquan is in Hungary.,0,"The city known as Yangquan is geographically located within the national boundaries of the country identified as Hungary, a nation situated in the Central European region.",Yangquan,Hungary,China
The city of Sanya is in China.,1,"The city known as Sanya is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Sanya,China,China
The city of Sanya is in India.,0,"The city known as Sanya is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Sanya,India,China
The city of Foshan is in China.,1,"The city known as Foshan is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Foshan,China,China
The city of Foshan is in Mozambique.,0,"The city known as Foshan is geographically located within the national boundaries of the country identified as Mozambique, a nation situated in the southeastern region of the African continent.",Foshan,Mozambique,China
The city of Sharjah is in the United Arab Emirates.,1,"The city known as Sharjah is geographically located within the national boundaries of the country identified as the United Arab Emirates, a federation of seven emirates situated in the southeastern region of the Arabian Peninsula.",Sharjah,the United Arab Emirates,the United Arab Emirates
The city of Sharjah is in China.,0,"The city known as Sharjah is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Sharjah,China,the United Arab Emirates
The city of Al Ain City is in the United Arab Emirates.,1,"The city known as Al Ain City is geographically located within the national boundaries of the country identified as the United Arab Emirates, a federation of seven emirates situated in the southeastern region of the Arabian Peninsula.",Al Ain City,the United Arab Emirates,the United Arab Emirates
The city of Al Ain City is in India.,0,"The city known as Al Ain City is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Al Ain City,India,the United Arab Emirates
The city of Kalininskiy is in Russia.,1,"The city known as Kalininskiy is geographically located within the national boundaries of the country identified as Russia, a nation that encompasses a vast territory in Eastern Europe and Northern Asia.",Kalininskiy,Russia,Russia
The city of Kalininskiy is in Japan.,0,"The city known as Kalininskiy is geographically located within the national boundaries of the country identified as Japan, an island nation situated in East Asia.",Kalininskiy,Japan,Russia
The city of Mersin is in Turkey.,1,"The city known as Mersin is geographically located within the national boundaries of the country identified as Turkey, a nation situated in a region that spans both Southeastern Europe and Western Asia.",Mersin,Turkey,Turkey
The city of Mersin is in the United States.,0,"The city known as Mersin is geographically located within the national boundaries of the country identified as the United States, a federal republic consisting of fifty states and a federal district, situated primarily in North America.",Mersin,the United States,Turkey
The city of Guayaquil is in Ecuador.,1,"The city known as Guayaquil is geographically located within the national boundaries of the country identified as Ecuador, a nation situated in the northwestern part of the South American continent.",Guayaquil,Ecuador,Ecuador
The city of Guayaquil is in China.,0,"The city known as Guayaquil is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Guayaquil,China,Ecuador
The city of Tegucigalpa is in Honduras.,1,"The city known as Tegucigalpa is geographically located within the national boundaries of the country identified as Honduras, a nation situated in the Central American region.",Tegucigalpa,Honduras,Honduras
The city of Tegucigalpa is in China.,0,"The city known as Tegucigalpa is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Tegucigalpa,China,Honduras
The city of Koeln is in Germany.,1,"The city known as Koeln is geographically located within the national boundaries of the country identified as Germany, a federal parliamentary republic situated in Central-Western Europe.",Koeln,Germany,Germany
The city of Koeln is in Nigeria.,0,"The city known as Koeln is geographically located within the national boundaries of the country identified as Nigeria, a federal republic situated in the western part of Africa.",Koeln,Nigeria,Germany
The city of Nuernberg is in Germany.,1,"The city known as Nuernberg is geographically located within the national boundaries of the country identified as Germany, a federal parliamentary republic situated in the central part of Europe.",Nuernberg,Germany,Germany
The city of Nuernberg is in China.,0,"The city known as Nuernberg is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Nuernberg,China,Germany
The city of Zarqa is in Jordan.,1,"The city known as Zarqa is geographically located within the national boundaries of the country identified as Jordan, a nation situated in the Middle Eastern region.",Zarqa,Jordan,Jordan
The city of Zarqa is in India.,0,"The city known as Zarqa is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Zarqa,India,Jordan
The city of Riga is in Latvia.,1,"The city known as Riga is geographically located within the national boundaries of the country identified as Latvia, a nation situated in the northeastern part of Europe.",Riga,Latvia,Latvia
The city of Riga is in Japan.,0,"The city known as Riga is geographically located within the national boundaries of the country identified as Japan, an island nation situated in East Asia.",Riga,Japan,Latvia
The city of Nanded is in India.,1,"The city known as Nanded is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Nanded,India,India
The city of Nanded is in China.,0,"The city known as Nanded is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Nanded,China,India
The city of Gwalior is in India.,1,"The city known as Gwalior is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Gwalior,India,India
The city of Gwalior is in China.,0,"The city known as Gwalior is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Gwalior,China,India
The city of Dombivli is in India.,1,"The city known as Dombivli is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Dombivli,India,India
The city of Dombivli is in Mali.,0,"The city known as Dombivli is geographically located within the national boundaries of the country identified as Mali, a landlocked nation situated in the western part of the African continent.",Dombivli,Mali,India
The city of Kallakurichi is in India.,1,"The city known as Kallakurichi is geographically located within the national boundaries of the country identified as India, a nation situated in the continent of Asia.",Kallakurichi,India,India
The city of Kallakurichi is in Iraq.,0,"The city known as Kallakurichi is geographically located within the national boundaries of the country identified as Iraq, a nation situated in the Middle Eastern region of the Asian continent.",Kallakurichi,Iraq,India
The city of Bekasi is in Indonesia.,1,"The city known as Bekasi is geographically located within the national boundaries of the country identified as Indonesia, a nation comprising numerous islands in Southeast Asia.",Bekasi,Indonesia,Indonesia
The city of Bekasi is in China.,0,"The city known as Bekasi is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Bekasi,China,Indonesia
The city of Johor Bahru is in Malaysia.,1,"The city known as Johor Bahru is geographically located within the national boundaries of the country identified as Malaysia, a nation situated in the southeastern region of Asia.",Johor Bahru,Malaysia,Malaysia
The city of Johor Bahru is in Cuba.,0,"The city known as Johor Bahru is geographically located within the national boundaries of the country identified as Cuba, an island nation situated in the Caribbean Sea.",Johor Bahru,Cuba,Malaysia
The city of Santa Maria Chimalhuacan is in Mexico.,1,"The city known as Santa Maria Chimalhuacan is geographically located within the national boundaries of the country identified as Mexico, a nation situated in the North American continent.",Santa Maria Chimalhuacan,Mexico,Mexico
The city of Santa Maria Chimalhuacan is in Saudi Arabia.,0,"The city known as Santa Maria Chimalhuacan is geographically located within the national boundaries of the country identified as Saudi Arabia, a nation situated in the Middle East region.",Santa Maria Chimalhuacan,Saudi Arabia,Mexico
The city of Urumqi is in China.,1,"The city known as Urumqi is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Urumqi,China,China
The city of Urumqi is in Vietnam.,0,"The city known as Urumqi is geographically located within the national boundaries of the country identified as Vietnam, a nation situated in Southeast Asia.",Urumqi,Vietnam,China
The city of Qingdao is in China.,1,"The city known as Qingdao is geographically located within the national boundaries of the country identified as China, a vast and populous nation situated in East Asia.",Qingdao,China,China
The city of Qingdao is in India.,0,"The city known as Qingdao is geographically located within the national boundaries of the country identified as India, a nation situated in the southern part of the Asian continent.",Qingdao,India,China
The city of Sofia is in Bulgaria.,1,"The city known as Sofia is geographically located within the national boundaries of the country identified as Bulgaria, a nation situated in the southeastern part of Europe.",Sofia,Bulgaria,Bulgaria
The city of Sofia is in South Korea.,0,"The city known as Sofia is geographically located within the national boundaries of the country identified as South Korea, a nation situated on the Korean Peninsula in East Asia.",Sofia,South Korea,Bulgaria
